id,type,name,description,source_file,data_origin,verification_status,category,cause,event,impact,inherent_level,residual_level,owner_unit_id,control_type,frequency,owner_role_id,effectiveness,risk_id,occurred_at,discovered_at,severity,loss_amount_vnd
KS-005,KiemSoat,Kiểm thử khả năng chịu tải và chuyển đổi dự phòng,,controls_seed.csv,SYNTHETIC,VERIFIED,,,,,,,,Preventive,Hang quy,VT-IT-OPERATIONS,Can cai thien,,,,,
KS-006,KiemSoat,Xác thực hai kênh với lệnh chuyển tiền ngoại lệ,,controls_seed.csv,SYNTHETIC,VERIFIED,,,,,,,,Preventive,Theo giao dich,VT-OPS-CONTROL,Hieu qua,,,,,
KS-007,KiemSoat,Theo dõi SLA xử lý cảnh báo AML,,controls_seed.csv,SYNTHETIC,VERIFIED,,,,,,,,Detective,Hang ngay,VT-COMPLIANCE-AML,Can cai thien,,,,,
KS-008,KiemSoat,Rà soát độc lập định giá tài sản bảo đảm,,controls_seed.csv,SYNTHETIC,VERIFIED,,,,,,,,Detective,Hang nam,VT-CREDIT-REVIEW,Hieu qua,,,,,
KS-009,KiemSoat,Hiệu chỉnh luật phát hiện giao dịch gian lận,,controls_seed.csv,SYNTHETIC,VERIFIED,,,,,,,,Preventive,Hang thang,VT-OPS-CONTROL,Can cai thien,,,,,
KS-010,KiemSoat,Đối chiếu dữ liệu nguồn trước khi phát hành báo cáo,,controls_seed.csv,SYNTHETIC,VERIFIED,,,,,,,,Detective,Hang thang,VT-FINANCE-REPORTING,Hieu qua,,,,,
SK-001,SuKienRuiRo,Sự kiện SK-001,Sai lệch trạng thái giao dịch được phát hiện khi đối soát cuối ngày,risk_events_seed.csv,SYNTHETIC,VERIFIED,,,,,,,,,,,,RR-001,2024-03-15,2024-03-15,Trung binh,85000000.0
SK-002,SuKienRuiRo,Sự kiện SK-002,Hồ sơ tín dụng được phê duyệt vượt hạn mức của người phê duyệt,risk_events_seed.csv,SYNTHETIC,VERIFIED,,,,,,,,,,,,RR-002,2024-04-02,2024-04-05,Cao,0.0
SK-003,SuKienRuiRo,Sự kiện SK-003,Giải ngân trước khi hoàn thiện chứng từ bảo đảm,risk_events_seed.csv,SYNTHETIC,VERIFIED,,,,,,,,,,,,RR-003,2024-04-18,2024-04-18,Cao,120000000.0
SK-004,SuKienRuiRo,Sự kiện SK-004,Tài khoản có quyền truy cập dữ liệu vượt phạm vi công việc,risk_events_seed.csv,SYNTHETIC,VERIFIED,,,,,,,,,,,,RR-004,2024-05-06,2024-05-07,Cao,0.0
SK-005,SuKienRuiRo,Sự kiện SK-005,Dịch vụ ngân hàng số gián đoạn trong giờ cao điểm,risk_events_seed.csv,SYNTHETIC,VERIFIED,,,,,,,,,,,,RR-005,2024-05-21,2024-05-21,Cao,0.0
SK-006,SuKienRuiRo,Sự kiện SK-006,Yêu cầu chuyển tiền giả mạo được xử lý trước khi bị thu hồi,risk_events_seed.csv,SYNTHETIC,VERIFIED,,,,,,,,,,,,RR-006,2024-06-11,2024-06-11,Cao,230000000.0
SK-007,SuKienRuiRo,Sự kiện SK-007,Báo cáo giao dịch đáng ngờ nộp quá hạn nội bộ,risk_events_seed.csv,SYNTHETIC,VERIFIED,,,,,,,,,,,,RR-007,2024-06-28,2024-07-03,Trung binh,0.0
SK-008,SuKienRuiRo,Sự kiện SK-008,Rà soát phát hiện giá trị tài sản bảo đảm đã hết hiệu lực,risk_events_seed.csv,SYNTHETIC,VERIFIED,,,,,,,,,,,,RR-008,2024-07-10,2024-07-15,Cao,0.0
SK-009,SuKienRuiRo,Sự kiện SK-009,Giao dịch bất thường chỉ bị phát hiện sau khi khách hàng khiếu nại,risk_events_seed.csv,SYNTHETIC,VERIFIED,,,,,,,,,,,,RR-009,2024-07-22,2024-07-23,Cao,175000000.0
SK-010,SuKienRuiRo,Sự kiện SK-010,Báo cáo quản trị sử dụng dữ liệu nguồn chưa đối chiếu,risk_events_seed.csv,SYNTHETIC,VERIFIED,,,,,,,,,,,,RR-010,2024-08-02,2024-08-05,Trung binh,0.0
SK-011,SuKienRuiRo,Sự kiện SK-011,Nhà cung cấp chậm khôi phục dịch vụ so với SLA,risk_events_seed.csv,SYNTHETIC,VERIFIED,,,,,,,,,,,,RR-011,2024-08-14,2024-08-14,Trung binh,0.0
SK-012,SuKienRuiRo,Sự kiện SK-012,Kiểm tra sau mua sắm phát hiện thiếu kê khai xung đột lợi ích,risk_events_seed.csv,SYNTHETIC,VERIFIED,,,,,,,,,,,,RR-012,2024-09-03,2024-09-12,Trung binh,0.0
