source_id,entity,entity_type,source,method,confidence,evidence
26750,Nguyễn Phú Trọng,NguoiKy,content_clean,gemini,0.98,CHỦ TỊCH QUỐC HỘI (Đã ký) Nguyễn Phú Trọng
26750,"kiểm toán viên, kiểm toán viên hành nghề, doanh nghiệp kiểm toán, chi nhánh doanh nghiệp kiểm toán nước ngoài tại Việt Nam, đơn vị được kiểm toán, tổ chức nghề nghiệp về kiểm toán và tổ chức, cá nhân khác có liên quan đến hoạt động kiểm toán độc lập",DoiTuongApDung,content_clean,gemini,0.95,"Luật này áp dụng đối với kiểm toán viên, kiểm toán viên hành nghề, doanh nghiệp kiểm toán, chi nhánh doanh nghiệp kiểm toán nước ngoài tại Việt Nam, đơn vị được kiểm toán, tổ chức nghề nghiệp về kiểm toán và tổ chức, cá nhân khác có liên quan đến hoạt động kiểm toán độc lập."
26750,Kiểm toán độc lập,LinhVuc,content_clean,gemini,0.9,LUẬT Kiểm toán độc lập
163441,Chính phủ,CoQuan,content_clean,gemini,0.95,CHÍNH PHỦ
163441,Kinh doanh bảo hiểm,LinhVuc,content_clean,gemini,0.95,Luật Kinh doanh bảo hiểm
163441,"Doanh nghiệp bảo hiểm phi nhân thọ, doanh nghiệp bảo hiểm nhân thọ, doanh nghiệp bảo hiểm sức khỏe, doanh nghiệp tái bảo hiểm, đại lý bảo hiểm, doanh nghiệp môi giới bảo hiểm, tổ chức, cá nhân cung cấp dịch vụ phụ trợ bảo hiểm, tổ chức tương hỗ cung cấp bảo hiểm vi mô",DoiTuongApDung,content_clean,gemini,0.9,"Doanh nghiệp bảo hiểm phi nhân thọ, doanh nghiệp bảo hiểm nhân thọ, doanh nghiệp bảo hiểm sức khỏe (sau đây gọi là doanh nghiệp bảo hiểm), doanh nghiệp tái bảo hiểm, đại lý bảo hiểm, doanh nghiệp môi giới bảo hiểm, tổ chức, cá nhân cung cấp dịch vụ phụ trợ bảo hiểm, tổ chức tương hỗ cung cấp bảo hiểm vi mô."
163441,"Chi nhánh doanh nghiệp bảo hiểm phi nhân thọ nước ngoài, chi nhánh doanh nghiệp tái bảo hiểm nước ngoài; Văn phòng đại diện của doanh nghiệp bảo hiểm nước ngoài, doanh nghiệp tái bảo hiểm nước ngoài, doanh nghiệp môi giới bảo hiểm nước ngoài, tập đoàn tài chính, bảo hiểm nước ngoài tại Việt Nam",DoiTuongApDung,content_clean,gemini,0.9,"Chi nhánh doanh nghiệp bảo hiểm phi nhân thọ nước ngoài, chi nhánh doanh nghiệp tái bảo hiểm nước ngoài (sau đây gọi là chi nhánh nước ngoài tại Việt Nam); Văn phòng đại diện của doanh nghiệp bảo hiểm nước ngoài, doanh nghiệp tái bảo hiểm nước ngoài, doanh nghiệp môi giới bảo hiểm nước ngoài, tập đoàn tài chính, bảo hiểm nước ngoài tại Việt Nam"
163441,"Bên mua bảo hiểm, người được bảo hiểm, người thụ hưởng",DoiTuongApDung,content_clean,gemini,0.9,"Bên mua bảo hiểm, người được bảo hiểm, người thụ hưởng"
146468,CHÍNH PHỦ,CoQuan,content_clean,gemini,0.99,CHÍNH PHỦ
146468,Nguyễn Xuân Phúc,NguoiKy,content_clean,gemini,0.99,Nguyễn Xuân Phúc
146468,"Tổ chức, cá nhân Việt Nam và tổ chức, cá nhân nước ngoài",DoiTuongApDung,content_clean,gemini,0.95,"Tổ chức, cá nhân Việt Nam và tổ chức, cá nhân nước ngoài (sau đây gọi chung là tổ chức, cá nhân) thực hiện hành vi vi phạm hành chính trong lĩnh vực chứng khoán và thị trường chứng khoán quy định tại Nghị định này."
146468,chứng khoán và thị trường chứng khoán,LinhVuc,content_clean,gemini,0.98,Quy định xử phạt vi phạm hành chính trong lĩnh vực chứng khoán và thị trường chứng khoán
168220,NGÂN HÀNG NHÀ NƯỚC VIỆT NAM,CoQuan,content_clean,gemini,0.99,NGÂN HÀNG NHÀ NƯỚC VIỆT NAM
168220,Đào Minh Tú,NguoiKy,content_clean,gemini,0.99,Đào Minh Tú
168220,Ngân hàng hợp tác xã,DoiTuongApDung,content_clean,gemini,0.95,1. Ngân hàng hợp tác xã.
168220,Quỹ tín dụng nhân dân,DoiTuongApDung,content_clean,gemini,0.95,2. Quỹ tín dụng nhân dân.
168220,"Tổ chức, cá nhân có liên quan đến phạm vi điều chỉnh quy định tại Điều 1 Thông tư này",DoiTuongApDung,content_clean,gemini,0.95,"3. Tổ chức, cá nhân có liên quan đến phạm vi điều chỉnh quy định tại Điều 1 Thông tư này."
168220,ngân hàng,LinhVuc,content_clean,gemini,0.9,hoạt động trong lĩnh vực ngân hàng
133858,Chính phủ,CoQuan,content_clean,gemini,0.95,Chính phủ ban hành Nghị định về kiểm toán nội bộ.
133858,Nguyễn Xuân Phúc,NguoiKy,content_clean,gemini,0.99,TM. CHÍNH PHỦ THỦ TƯỚNG CHÍNH PHỦ (Đã ký) Nguyễn Xuân Phúc
133858,"Các bộ, cơ quan ngang bộ, cơ quan thuộc Chính phủ",DoiTuongApDung,content_clean,gemini,0.9,"a) Các bộ, cơ quan ngang bộ, cơ quan thuộc Chính phủ;"
133858,"Ủy ban nhân dân các tỉnh, thành phố trực thuộc trung ương",DoiTuongApDung,content_clean,gemini,0.9,"b) Ủy ban nhân dân các tỉnh, thành phố trực thuộc trung ương;"
133858,Các đơn vị sự nghiệp công lập,DoiTuongApDung,content_clean,gemini,0.9,c) Các đơn vị sự nghiệp công lập;
133858,Các doanh nghiệp,DoiTuongApDung,content_clean,gemini,0.9,d) Các doanh nghiệp;
133858,"Các tổ chức, cá nhân khác có liên quan đến hoạt động kiểm toán nội bộ",DoiTuongApDung,content_clean,gemini,0.9,"đ) Các tổ chức, cá nhân khác có liên quan đến hoạt động kiểm toán nội bộ."
133858,kiểm toán nội bộ,LinhVuc,content_clean,gemini,0.95,NGHỊ ĐỊNH Về kiểm toán nội bộ
169221,NGÂN HÀNG NHÀ NƯỚC VIỆT NAM,CoQuan,content_clean,gemini,0.95,NGÂN HÀNG NHÀ NƯỚC VIỆT NAM
169221,Phạm Thanh Hà,NguoiKy,content_clean,gemini,0.98,Phạm Thanh Hà
169221,"Chánh Văn phòng, Cục trưởng Cục Quản lý dự trữ ngoại hối nhà nước và Thủ trưởng các đơn vị thuộc Ngân hàng Nhà nước Việt Nam",DoiTuongApDung,content_clean,gemini,0.9,"Chánh Văn phòng, Cục trưởng Cục Quản lý dự trữ ngoại hối nhà nước và Thủ trưởng các đơn vị thuộc Ngân hàng Nhà nước Việt Nam chịu trách nhiệm tổ chức thực hiện Thông tư này."
169221,quản lý dự trữ ngoại hối nhà nước,LinhVuc,content_clean,gemini,0.85,hướng dẫn việc tổ chức thực hiện hoạt động quản lý dự trữ ngoại hối nhà nước
95652,CHÍNH PHỦ,CoQuan,content_clean,gemini,0.99,CHÍNH PHỦ CỘNG HÒA XÃ HỘI CHỦ NGHĨA VIỆT NAM
95652,Nguyễn Tấn Dũng,NguoiKy,content_clean,gemini,0.99,THỦ TƯỚNG CHÍNH PHỦ (Đã ký) Nguyễn Tấn Dũng
95652,Nhà đầu tư,DoiTuongApDung,content_clean,gemini,0.95,Nhà đầu tư gồm các đối tượng sau: a) Tổ chức kinh tế theo quy định tại Khoản 16 Điều 3 Luật Đầu tư; b) Cá nhân có quốc tịch Việt Nam thuộc đối tượng được tham gia chương trình thưởng cổ phiếu phát hành ở nước ngoài.
95652,Các cơ quan quản lý nhà nước,DoiTuongApDung,content_clean,gemini,0.95,Các cơ quan quản lý nhà nước tham gia quản lý hoạt động đầu tư gián tiếp ra nước ngoài theo quy định tại Nghị định này.
95652,"Các tổ chức, cá nhân khác có liên quan",DoiTuongApDung,content_clean,gemini,0.95,"Các tổ chức, cá nhân khác có liên quan đến hoạt động đầu tư gián tiếp ra nước ngoài."
95652,đầu tư gián tiếp ra nước ngoài,LinhVuc,content_clean,gemini,0.9,NGHỊ ĐỊNH Q uy định về đầu tư gián tiếp ra nước ngoài
f69936f0-6937-11f1-a48d-29bc6b0fd706,Chính phủ,CoQuan,content_clean,gemini,0.95,Nghị định số 156/2020/NĐ-CP ngày 31 tháng 12 năm 2020 của Chính phủ
f69936f0-6937-11f1-a48d-29bc6b0fd706,Bộ Tài chính,CoQuan,content_clean,gemini,0.9,BỘ TÀI CHÍNH
f69936f0-6937-11f1-a48d-29bc6b0fd706,Nguyễn Đức Chi,NguoiKy,content_clean,gemini,0.98,KT. BỘ TRƯỞNG THỨ TRƯỞNG Nguyễn Đức Chi
f69936f0-6937-11f1-a48d-29bc6b0fd706,"Tổ chức, cá nhân Việt Nam và tổ chức, cá nhân nước ngoài",DoiTuongApDung,content_clean,gemini,0.95,"Tổ chức, cá nhân Việt Nam và tổ chức, cá nhân nước ngoài (sau đây gọi chung là Tổ chức, cá nhân) thực hiện hành vi vi phạm hành chính trong lĩnh vực chứng khoán và thị trường chứng khoán quy định tại Nghị định này."
f69936f0-6937-11f1-a48d-29bc6b0fd706,chứng khoán và thị trường chứng khoán,LinhVuc,content_clean,gemini,0.95,Quy định xử phạt vi phạm hành chính trong lĩnh vực chứng khoán và thị trường chứng khoán
30402,BỘ TÀI CHÍNH,CoQuan,content_clean,gemini,0.99,BỘ TÀI CHÍNH
30402,Trần Xuân Hà,NguoiKy,content_clean,gemini,0.99,Trần Xuân Hà
30402,"Kiểm toán viên đăng ký hành nghề tại doanh nghiệp kiểm toán, chi nhánh doanh nghiệp kiểm toán nước ngoài tại Việt Nam",DoiTuongApDung,content_clean,gemini,0.95,"Kiểm toán viên đăng ký hành nghề tại doanh nghiệp kiểm toán, chi nhánh doanh nghiệp kiểm toán nước ngoài tại Việt Nam."
30402,"Doanh nghiệp kiểm toán, chi nhánh doanh nghiệp kiểm toán nước ngoài tại Việt Nam",DoiTuongApDung,content_clean,gemini,0.95,"Doanh nghiệp kiểm toán, chi nhánh doanh nghiệp kiểm toán nước ngoài tại Việt Nam (sau đây gọi chung là doanh nghiệp kiểm toán)."
30402,"Tổ chức, cá nhân có liên quan đến việc đăng ký, quản lý và công khai danh sách kiểm toán viên hành nghề kiểm toán",DoiTuongApDung,content_clean,gemini,0.95,"Tổ chức, cá nhân có liên quan đến việc đăng ký, quản lý và công khai danh sách kiểm toán viên hành nghề kiểm toán."
30402,Kiểm toán,LinhVuc,content_clean,gemini,0.9,"đăng ký, quản lý và công khai danh sách kiểm toán viên hành nghề kiểm toán"
27257,NGÂN HÀNG NHÀ NƯỚC VIỆT NAM,CoQuan,content_clean,gemini,0.95,NGÂN HÀNG NHÀ NƯỚC VIỆT NAM
27257,Trần Minh Tuấn,NguoiKy,content_clean,gemini,0.95,Trần Minh Tuấn
27257,"Tổ chức tín dụng, chi nhánh ngân hàng nước ngoài, tổ chức, cá nhân có liên quan đến hệ thống kiểm soát nội bộ và kiểm toán nội bộ",DoiTuongApDung,content_clean,gemini,0.9,"1. Tổ chức tín dụng; 2. Chi nhánh ngân hàng nước ngoài; 3. Tổ chức, cá nhân có liên quan đến hệ thống kiểm soát nội bộ và kiểm toán nội bộ của tổ chức tín dụng, chi nhánh ngân hàng nước ngoài."
27257,kiểm soát nội bộ và kiểm toán nội bộ,LinhVuc,content_clean,gemini,0.85,hệ thống kiểm soát nội bộ và kiểm toán nội bộ
143217,BỘ TÀI CHÍNH,CoQuan,content_clean,gemini,0.95,BỘ TÀI CHÍNH
143217,Đỗ Hoàng Anh Tuấn,NguoiKy,content_clean,gemini,0.95,Đỗ Hoàng Anh Tuấn
143217,các doanh nghiệp quy định tại khoản 1 Điều 10 Nghị định số 05/2019/NĐ-CP ngày 22 tháng 01 năm 2019 của Chính phủ về kiếm toán nội bộ,DoiTuongApDung,content_clean,gemini,0.9,Thông tư này áp dụng đối với các doanh nghiệp quy định tại khoản 1 Điều 10 Nghị định số 05/2019/NĐ-CP ngày 22 tháng 01 năm 2019 của Chính phủ về kiếm toán nội bộ.
143217,Các doanh nghiệp không thuộc quy định tại khoản 1 Điều này,DoiTuongApDung,content_clean,gemini,0.85,Các doanh nghiệp không thuộc quy định tại khoản 1 Điều này được khuyến khích xây dựng Quy chế kiểm toán nội bộ
143217,Kiểm toán,LinhVuc,content_clean,gemini,0.9,Quy chế mẫu về kiểm toán nội bộ áp dụng cho doanh nghiệp
168859,NGÂN HÀNG NHÀ NƯỚC VIỆT NAM,CoQuan,content_clean,gemini,0.95,NGÂN HÀNG NHÀ NƯỚC VIỆT NAM
168859,Đào Minh Tú,NguoiKy,content_clean,gemini,0.95,PHÓ THỐNG ĐỐC Đào Minh Tú
168859,Quỹ tín dụng nhân dân,DoiTuongApDung,content_clean,gemini,0.9,1. Quỹ tín dụng nhân dân.
168859,Ngân hàng hợp tác xã,DoiTuongApDung,content_clean,gemini,0.9,2. Ngân hàng hợp tác xã.
168859,"Tổ chức, cá nhân có liên quan đến quản trị, điều hành, tổ chức và hoạt động của quỹ tín dụng nhân dân",DoiTuongApDung,content_clean,gemini,0.9,"3. Tổ chức, cá nhân có liên quan đến quản trị, điều hành, tổ chức và hoạt động của quỹ tín dụng nhân dân."
168859,Tín dụng,LinhVuc,content_clean,gemini,0.85,quỹ tín dụng nhân dân
150974,Bộ Tài chính,CoQuan,content_clean,gemini,0.95,Bộ trưởng Bộ Tài chính ban hành
150974,Tạ Anh Tuấn,NguoiKy,content_clean,gemini,0.98,Tạ Anh Tuấn
150974,"các doanh nghiệp, cơ quan nhà nước, đơn vị sự nghiệp công lập",DoiTuongApDung,content_clean,gemini,0.9,"áp dụng đối với các doanh nghiệp, cơ quan nhà nước, đơn vị sự nghiệp công lập quy định tại Điều 8, Điều 9, Điều 10 Nghị định số 05/2019/NĐ-CP"
150974,Kiểm toán nội bộ,LinhVuc,content_clean,gemini,0.9,Ban hành chuẩn mực kiểm toán nội bộ Việt Nam
164719,Ngân hàng Nhà nước Việt Nam,CoQuan,content_clean,gemini,0.95,NGÂN HÀNG NHÀ NƯỚC VIỆT NAM
164719,Đoàn Thái Sơn,NguoiKy,content_clean,gemini,0.95,Đoàn Thái Sơn
164719,"ngân hàng, chi nhánh ngân hàng nước ngoài",DoiTuongApDung,content_clean,gemini,0.9,"ngân hàng, chi nhánh ngân hàng nước ngoài chịu trách nhiệm tổ chức thực hiện Thông tư này"
164719,Ngân hàng,LinhVuc,content_clean,gemini,0.85,"quy định tỷ lệ an toàn vốn đối với ngân hàng, chi nhánh ngân hàng nước ngoài"
173695,NGÂN HÀNG NHÀ NƯỚC VIỆT NAM,CoQuan,content_clean,gemini,0.95,NGÂN HÀNG NHÀ NƯỚC VIỆT NAM
173695,Đoàn Thái Sơn,NguoiKy,content_clean,gemini,0.95,Đoàn Thái Sơn
173695,Ngân hàng thương mại,DoiTuongApDung,content_clean,gemini,0.9,1. Ngân hàng thương mại.
173695,Chi nhánh ngân hàng nước ngoài,DoiTuongApDung,content_clean,gemini,0.9,2. Chi nhánh ngân hàng nước ngoài.
173695,"Văn phòng đại diện tại Việt Nam của tổ chức tín dụng nước ngoài, tổ chức nước ngoài khác có hoạt động ngân hàng",DoiTuongApDung,content_clean,gemini,0.9,"3. Văn phòng đại diện tại Việt Nam của tổ chức tín dụng nước ngoài, tổ chức nước ngoài khác có hoạt động ngân hàng"
173695,"Các tổ chức, cá nhân có liên quan đến hồ sơ, thủ tục cấp Giấy phép lần đầu của ngân hàng thương mại, chi nhánh ngân hàng nước ngoài và văn phòng đại diện nước ngoài",DoiTuongApDung,content_clean,gemini,0.9,"4. Các tổ chức, cá nhân có liên quan đến hồ sơ, thủ tục cấp Giấy phép lần đầu của ngân hàng thương mại, chi nhánh ngân hàng nước ngoài và văn phòng đại diện nước ngoài."
173695,Ngân hàng,LinhVuc,content_clean,gemini,0.85,"Quy định hồ sơ, thủ tục cấp Giấy phép lần đầu của ngân hàng thương mại, chi nhánh ngân hàng nước ngoài , văn phòng đại diện nước ngoài"
186482,NGÂN HÀNG NHÀ NƯỚC VIỆT NAM,CoQuan,content_clean,gemini,0.95,NGÂN HÀNG NHÀ NƯỚC VIỆT NAM
186482,Đoàn Thái Sơn,NguoiKy,content_clean,gemini,0.95,KT. THỐNG ĐỐC PHÓ THỐNG ĐỐC (Đã ký) Đoàn Thái Sơn
186482,"Thủ trưởng các đơn vị thuộc Ngân hàng Nhà nước Việt Nam, tổ chức tín dụng, chi nhánh ngân hàng nước ngoài, Công ty quản lý tài sản của các tổ chức tín dụng Việt Nam",DoiTuongApDung,content_clean,gemini,0.9,"Thủ trưởng các đơn vị thuộc Ngân hàng Nhà nước Việt Nam, tổ chức tín dụng, chi nhánh ngân hàng nước ngoài, Công ty quản lý tài sản của các tổ chức tín dụng Việt Nam chịu trách nhiệm thực hiện Thông tư này."
186482,"quản lý, giám sát ngân hàng",LinhVuc,content_clean,gemini,0.85,"trong lĩnh vực quản lý, giám sát ngân hàng liên quan đến cắt giảm điều kiện kinh doanh, đơn giản hóa thủ tục hành chính"
112924,BỘ TÀI CHÍNH,CoQuan,content_clean,gemini,0.99,BỘ TÀI CHÍNH
112924,Trần Xuân Hà,NguoiKy,content_clean,gemini,0.98,Trần Xuân Hà
112924,"tổ chức kinh doanh chứng khoán, quỹ đầu tư chứng khoán, công ty đầu tư chứng khoán, doanh nghiệp kinh doanh bảo hiểm và các cơ quan, tổ chức, cá nhân có liên quan đến hoạt động đầu tư gián tiếp ra nước ngoài",DoiTuongApDung,content_clean,gemini,0.95,"Thông tư này áp dụng đối với tổ chức kinh doanh chứng khoán, quỹ đầu tư chứng khoán, công ty đầu tư chứng khoán, doanh nghiệp kinh doanh bảo hiểm và các cơ quan, tổ chức, cá nhân có liên quan đến hoạt động đầu tư gián tiếp ra nước ngoài."
112924,Chứng khoán,LinhVuc,content_clean,gemini,0.9,TỔ CHỨC KINH DOANH CHỨNG KHOÁN
112924,Bảo hiểm,LinhVuc,content_clean,gemini,0.9,DOANH NGHIỆP KINH DOANH BẢO HIỂM
