source,target,relationship_type,method,confidence,evidence
150974,133858,THAM_CHIEU,rule,1.0,Căn cứ Nghị định 05/2019/NĐ-CP ngày 22 tháng 01 năm 2019 của Chính phủ về kiểm toán nội bộ
164719,117310,THAM_CHIEU,rule,1.0,"NGÂN HÀNG NHÀ NƯỚC VIỆT NAM CỘNG HÒA XÃ HỘI CHỦ NGHĨA VIỆT NAM Độc lập – Tự do – Hạnh phúc Số: 22/2023/TT-NHNN Hà Nội, ngày 29 tháng 12 năm 2023 THÔNG TƯ Sửa đổi, bổ sung một số điều của Thông tư số 41/2016/TT-NHNN ngày 30 tháng 12 năm 2016 của Thống đốc Ngân hàng Nhà nước Việt Nam quy định tỷ lệ an toàn vốn đối với ngân hàng, chi nhánh ngân hàng nước ngoài Căn cứ Luật Ngân hàng Nhà nước Việt Nam ngày 16 tháng 6 năm 2010"
164719,117310,SUA_DOI_BO_SUNG,rule,1.0,"Thống đốc Ngân hàng Nhà nước Việt Nam ban hành Thông tư sửa đổi, bổ sung một số điều của Thông tư số 41/2016/TT-NHNN ngày 30 tháng 12 năm 2016 của Thống đốc Ngân hàng Nhà nước Việt Nam quy định tỷ lệ an toàn vốn đối với ngân hàng, chi nhánh ngân hàng nước ngoài"
117310,164719,THAY_THE_BOI,rule,1.0,"Thay thế Phụ lục 01, Phụ lục 02, Phụ lục 03, Phụ lục 04 và Phụ lục 06 của Thông tư số 41/2016/TT-NHNN bằng Phụ lục 01, Phụ lục 02, Phụ lục 03, Phụ lục 04 và Phụ lục 06 ban hành kèm theo Thông tư này"
186482,25692,THAM_CHIEU,rule,1.0,"NGÂN HÀNG NHÀ NƯỚC VIỆT NAM ------- CỘNG HÒA XÃ HỘI CHỦ NGHĨA VIỆT NAM Độc lập - Tự do - Hạnh phúc --------------- Số: 69/2025/TT-NHNN Hà Nội, ngày 31 tháng 12 năm 2025 THÔNG TƯ Sửa đổi, bổ sung một số điều của một số Thông tư của Thống đốc Ngân hàng Nhà nước Việt Nam trong lĩnh vực quản lý, giám sát ngân hàng liên quan đến cắt giảm điều kiện kinh doanh, đơn giản hóa thủ tục hành chính Căn cứ Luật Ngân hàng Nhà nước Việt Nam số 46/2010/QH12"
186482,166170,THAM_CHIEU,rule,1.0,"Căn cứ Luật Các tổ chức tín dụng số 32/2024/QH15 được sửa đổi, bổ sung bởi Luật số 96/2025/QH15"
186482,174218,SUA_DOI_BO_SUNG,rule,1.0,"Chương IV SỬA ĐỔI, BỔ SUNG MỘT SỐ ĐIỀU CỦA THÔNG TƯ SỐ 62/2024/TT-NHNN CỦA THỐNG ĐỐC NGÂN HÀNG NHÀ NƯỚC VIỆT NAM QUY ĐỊNH VỀ ĐIỀU KIỆN, HỒ SƠ, THỦ TỤC CHẤP THUẬN VIỆC TỔ CHỨC LẠI NGÂN HÀNG THƯƠNG MẠI, TỔ CHỨC TÍN DỤNG PHI NGÂN HÀNG Điều 26"
112924,95652,THAM_CHIEU,rule,1.0,Căn cứ Nghị định số 135/2015/NĐ-CP ngày 31 tháng 12 năm 2015 của Chính phủ quy định về đầu tư gián tiếp ra nước ngoài
186888,25692,THAM_CHIEU,rule,1.0,"Document Content NGÂN HÀNG NHÀ NƯỚC VIỆT NAM _________ Số: 62/2025/TT-NHNN CỘNG HÒA XÃ HỘI CHỦ NGHĨA VIỆT NAM Độc lập - Tự do - Hạnh phúc ________________________ Hà Nội, ngày 31 tháng 12 năm 2025 THÔNG TƯ Quy định về hệ thống kiểm soát nội bộ của tổ chức tín dụng là hợp tác xã, tổ chức tài chính vi mô Căn cứ Luật Ngân hàng Nhà nước Việt Nam số 46/2010/QH12"
186888,166170,THAM_CHIEU,rule,1.0,"Căn cứ Luật Các tổ chức tín dụng số 32/2024/QH15 được sửa đổi, bổ sung bởi Luật số 96/2025/QH15"
27257,186888,THAY_THE_BOI,rule,1.0,"Thông tư này bãi bỏ Thông tư số 44/2011/TT-NHNN ngày 29 tháng 12 năm 2011 của Thống đốc Ngân hàng Nhà nước Việt Nam quy định về hệ thống kiểm soát nội bộ và kiểm toán nội bộ của tổ chức tín dụng, chi nhánh ngân hàng nước ngoài"
6e689cd0-6f81-11f1-94d6-fd5d6d5ff793,173695,SUA_DOI_BO_SUNG,rule,1.0,"CỘNG HÒA XÃ HỘI CHỦ NGHĨA VIỆT NAM Độc lập - Tự do - Hạnh phúc CỘNG HÒA XÃ HỘI CHỦ NGHĨA VIỆT NAM Độc lập - Tự do - Hạnh phúc CỘNG HÒA XÃ HỘI CHỦ NGHĨA VIỆT NAM Độc lập - Tự do - Hạnh phúc THÔNG TƯ Quy định hồ sơ, thủ tục cấp Giấy phép lần đầu của ngân hàng thương mại, chi nhánh ngân hàng nước ngoài, văn phòng đại diện nước ngoài Thông tư số 56/2024/TT-NHNN ngày 24 tháng 12 năm 2024 của Thống đốc Ngân hàng Nhà nước Việt Nam quy định hồ sơ, thủ tục cấp Giấy phép lần đầu của ngân hàng thương mại, chi nhánh ngân hàng nước ngoài, văn phòng đại diện nước ngoài, có hiệu lực kể từ ngày 24 tháng 12 năm 2024 được sửa đổi, bổ sung bởi: 1"
6e689cd0-6f81-11f1-94d6-fd5d6d5ff793,173695,THAM_CHIEU,rule,1.0,"Phụ lục số 01 MẪU GIẤY PHÉP THÀNH LẬP VÀ HOẠT ĐỘNG NGÂN HÀNG THƯƠNG MẠI (Ban hành kèm theo Thông tư số 56/2024/TT-NHNN ngày 24 tháng 12 năm 2024 của Thống đốc Ngân hàng Nhà nước Việt Nam quy định hồ sơ, thủ tục cấp Giấy phép lần đầu của ngân hàng thương mại, chi nhánh ngân hàng nước ngoài, văn phòng đại diện nước ngoài) NGÂN HÀNG NHÀ NƯỚC VIỆT NAM -------- CỘNG HÒA XÃ HỘI CHỦ NGHĨA VIỆT NAM Độc lập - Tự do - Hạnh phúc --------------- Số: /GP-NHNN Hà Nội, ngày tháng năm"
185630,25692,THAM_CHIEU,rule,1.0,"NGÂN HÀNG NHÀ NƯỚC VIỆT NAM CỘNG HÒA XÃ HỘI CHỦ NGHĨA VIỆT NAM Độc lập - Tự do - Hạnh phúc Số: 63/2025/TT-NHNN Hà Nội, ngày 31 tháng 12 năm 2025 THÔNG TƯ Sửa đổi, bổ sung một số điều của một số Thông tư về quỹ tín dụng nhân dân Căn cứ Luật Ngân hàng Nhà nước Việt Nam số 46/2010/QH12"
185630,166170,THAM_CHIEU,rule,1.0,"Căn cứ Luật Các tổ chức tín dụng số 32/2024/QH15 được sửa đổi, bổ sung bởi Luật số 96/2025/QH15"
185630,166269,THAM_CHIEU,rule,1.0,Căn cứ Luật Hợp tác xã số 17/2023/QH15
185630,168859,SUA_DOI_BO_SUNG,rule,1.0,"Chương I SỬA ĐỔI, BỔ SUNG MỘT SỐ ĐIỀU CỦA THÔNG TƯ SỐ 29/2024/TT-NHNN QUY ĐỊNH VỀ QUỸ TÍN DỤNG NHÂN DÂN Điều 1"
185630,177271,SUA_DOI_BO_SUNG,rule,1.0,"Chương II SỬA ĐỔI, BỔ SUNG MỘT SỐ ĐIỀU CỦA THÔNG TƯ SỐ 01/2025/TT-NHNN QUY ĐỊNH VỀ CẤP GIẤY PHÉP LẦN ĐẦU, CẤP ĐỔI GIẤY PHÉP CỦA QUỸ TÍN DỤNG NHÂN DÂN Điều 3"
117310,25692,THAM_CHIEU,rule,1.0,"NGÂN HÀNG NHÀ NƯỚC VIỆT NAM CỘNG HÒA XÃ HỘI CHỦ NGHĨA VIỆT NAM Độc lập – Tự do – Hạnh phúc Số: 41/2016/TT-NHNN Hà Nội, Ngày 30 tháng 12 năm 2016 THÔNG TƯ Quy định tỷ lệ an toàn vốn đối với ngân hàng, chi nhánh ngân hàng nước ngoài Căn cứ Luật Ngân hàng Nhà nước Việt Nam số 46/2010/QH12 ngày 16 tháng 6 năm 2010"
44209,25692,THAM_CHIEU,rule,1.0,"NGÂN HÀNG NHÀ NƯỚC VIỆT NAM ------- CỘNG HÒA XÃ HỘI CHỦ NGHĨA VIỆT NAM Độc lập - Tự do - Hạnh phúc --------------- Số: 01/2014/TT-NHNN Hà Nội, ngày 06 tháng 01 năm 2014 THÔNG TƯ Quy định về giao nhận, bảo quản, vận chuyển tiền mặt, tài sản quý, giấy tờ có giá Căn cứ Luật Ngân hàng Nhà nước Việt Nam số 46/2010/QH12 ngày 16 tháng 6 năm 2010"
166170,DoiTuongApDung_859512377,AP_DUNG_CHO,metadata/gemini,1.0,metadata/enrichment
166170,DoiTuongApDung_84410887,AP_DUNG_CHO,metadata/gemini,1.0,metadata/enrichment
166170,NguoiKy_125471001,KY_BOI,metadata,1.0,metadata
166170,DoiTuongApDung_828448012,AP_DUNG_CHO,metadata/gemini,1.0,metadata/enrichment
166170,DoiTuongApDung_403536334,AP_DUNG_CHO,metadata/gemini,1.0,metadata/enrichment
166170,LinhVuc_384788153,THUOC_LINH_VUC,metadata,1.0,metadata
166170,CoQuan_631011907,BAN_HANH_BOI,metadata,1.0,metadata
186888,CoQuan_817656383,BAN_HANH_BOI,metadata,1.0,metadata
174218,LinhVuc_233210126,THUOC_LINH_VUC,metadata,1.0,metadata
174218,NguoiKy_175756545,KY_BOI,metadata,1.0,metadata
174218,CoQuan_817656383,BAN_HANH_BOI,metadata,1.0,metadata
112924,DoiTuongApDung_339967341,AP_DUNG_CHO,metadata/gemini,1.0,metadata/enrichment
112924,LinhVuc_296997001,THUOC_LINH_VUC,metadata,1.0,metadata
112924,NguoiKy_392866180,KY_BOI,metadata,1.0,metadata
112924,CoQuan_224723433,BAN_HANH_BOI,metadata,1.0,metadata
186482,DoiTuongApDung_867310617,AP_DUNG_CHO,metadata/gemini,1.0,metadata/enrichment
186482,LinhVuc_204942460,THUOC_LINH_VUC,metadata,1.0,metadata
186482,NguoiKy_175756545,KY_BOI,metadata,1.0,metadata
186482,CoQuan_817656383,BAN_HANH_BOI,metadata,1.0,metadata
173695,DoiTuongApDung_242495839,AP_DUNG_CHO,metadata/gemini,1.0,metadata/enrichment
173695,DoiTuongApDung_403536334,AP_DUNG_CHO,metadata/gemini,1.0,metadata/enrichment
173695,DoiTuongApDung_859512377,AP_DUNG_CHO,metadata/gemini,1.0,metadata/enrichment
173695,DoiTuongApDung_526033542,AP_DUNG_CHO,metadata/gemini,1.0,metadata/enrichment
173695,LinhVuc_233210126,THUOC_LINH_VUC,metadata,1.0,metadata
173695,NguoiKy_175756545,KY_BOI,metadata,1.0,metadata
173695,CoQuan_817656383,BAN_HANH_BOI,metadata,1.0,metadata
164719,DoiTuongApDung_926133329,AP_DUNG_CHO,metadata/gemini,1.0,metadata/enrichment
164719,LinhVuc_233210126,THUOC_LINH_VUC,metadata,1.0,metadata
164719,NguoiKy_175756545,KY_BOI,metadata,1.0,metadata
164719,CoQuan_817656383,BAN_HANH_BOI,metadata,1.0,metadata
150974,DoiTuongApDung_444077050,AP_DUNG_CHO,metadata/gemini,1.0,metadata/enrichment
150974,LinhVuc_566025587,THUOC_LINH_VUC,metadata,1.0,metadata
150974,NguoiKy_494977834,KY_BOI,metadata,1.0,metadata
150974,CoQuan_224723433,BAN_HANH_BOI,metadata,1.0,metadata
168859,DoiTuongApDung_420902510,AP_DUNG_CHO,metadata/gemini,1.0,metadata/enrichment
168859,DoiTuongApDung_564712484,AP_DUNG_CHO,metadata/gemini,1.0,metadata/enrichment
168859,DoiTuongApDung_614888172,AP_DUNG_CHO,metadata/gemini,1.0,metadata/enrichment
168859,LinhVuc_233210126,THUOC_LINH_VUC,metadata,1.0,metadata
168859,NguoiKy_306203262,KY_BOI,metadata,1.0,metadata
168859,CoQuan_817656383,BAN_HANH_BOI,metadata,1.0,metadata
143217,DoiTuongApDung_56526574,AP_DUNG_CHO,metadata/gemini,1.0,metadata/enrichment
143217,DoiTuongApDung_82441061,AP_DUNG_CHO,metadata/gemini,1.0,metadata/enrichment
143217,LinhVuc_898393019,THUOC_LINH_VUC,metadata,1.0,metadata
143217,NguoiKy_809720219,KY_BOI,metadata,1.0,metadata
143217,CoQuan_224723433,BAN_HANH_BOI,metadata,1.0,metadata
27257,DoiTuongApDung_960165797,AP_DUNG_CHO,metadata/gemini,1.0,metadata/enrichment
27257,LinhVuc_869840649,THUOC_LINH_VUC,metadata,1.0,metadata
27257,NguoiKy_705281220,KY_BOI,metadata,1.0,metadata
27257,CoQuan_817656383,BAN_HANH_BOI,metadata,1.0,metadata
173460,LinhVuc_233210126,THUOC_LINH_VUC,metadata,1.0,metadata
173460,NguoiKy_175756545,KY_BOI,metadata,1.0,metadata
173460,CoQuan_817656383,BAN_HANH_BOI,metadata,1.0,metadata
30402,DoiTuongApDung_955184280,AP_DUNG_CHO,metadata/gemini,1.0,metadata/enrichment
30402,DoiTuongApDung_530157567,AP_DUNG_CHO,metadata/gemini,1.0,metadata/enrichment
30402,DoiTuongApDung_624411778,AP_DUNG_CHO,metadata/gemini,1.0,metadata/enrichment
30402,LinhVuc_783077438,THUOC_LINH_VUC,metadata,1.0,metadata
30402,NguoiKy_392866180,KY_BOI,metadata,1.0,metadata
30402,CoQuan_224723433,BAN_HANH_BOI,metadata,1.0,metadata
f69936f0-6937-11f1-a48d-29bc6b0fd706,DoiTuongApDung_697390452,AP_DUNG_CHO,metadata/gemini,1.0,metadata/enrichment
f69936f0-6937-11f1-a48d-29bc6b0fd706,LinhVuc_32937,THUOC_LINH_VUC,metadata,1.0,metadata
f69936f0-6937-11f1-a48d-29bc6b0fd706,NguoiKy_632254791,KY_BOI,metadata,1.0,metadata
f69936f0-6937-11f1-a48d-29bc6b0fd706,CoQuan_224723433,BAN_HANH_BOI,metadata,1.0,metadata
95652,DoiTuongApDung_159597623,AP_DUNG_CHO,metadata/gemini,1.0,metadata/enrichment
95652,DoiTuongApDung_715272991,AP_DUNG_CHO,metadata/gemini,1.0,metadata/enrichment
95652,DoiTuongApDung_889105028,AP_DUNG_CHO,metadata/gemini,1.0,metadata/enrichment
95652,LinhVuc_948606539,THUOC_LINH_VUC,metadata,1.0,metadata
95652,NguoiKy_720650062,KY_BOI,metadata,1.0,metadata
95652,CoQuan_459545539,BAN_HANH_BOI,metadata,1.0,metadata
169221,DoiTuongApDung_479252915,AP_DUNG_CHO,metadata/gemini,1.0,metadata/enrichment
169221,LinhVuc_718993294,THUOC_LINH_VUC,metadata,1.0,metadata
169221,NguoiKy_653696408,KY_BOI,metadata,1.0,metadata
169221,CoQuan_817656383,BAN_HANH_BOI,metadata,1.0,metadata
133858,DoiTuongApDung_769432579,AP_DUNG_CHO,metadata/gemini,1.0,metadata/enrichment
133858,DoiTuongApDung_576196400,AP_DUNG_CHO,metadata/gemini,1.0,metadata/enrichment
133858,DoiTuongApDung_61619648,AP_DUNG_CHO,metadata/gemini,1.0,metadata/enrichment
133858,DoiTuongApDung_103313659,AP_DUNG_CHO,metadata/gemini,1.0,metadata/enrichment
133858,DoiTuongApDung_733604133,AP_DUNG_CHO,metadata/gemini,1.0,metadata/enrichment
133858,LinhVuc_153055480,THUOC_LINH_VUC,metadata,1.0,metadata
133858,NguoiKy_517575735,KY_BOI,metadata,1.0,metadata
133858,CoQuan_459545539,BAN_HANH_BOI,metadata,1.0,metadata
168220,DoiTuongApDung_485719088,AP_DUNG_CHO,metadata/gemini,1.0,metadata/enrichment
168220,DoiTuongApDung_614888172,AP_DUNG_CHO,metadata/gemini,1.0,metadata/enrichment
168220,DoiTuongApDung_564712484,AP_DUNG_CHO,metadata/gemini,1.0,metadata/enrichment
168220,LinhVuc_233210126,THUOC_LINH_VUC,metadata,1.0,metadata
168220,NguoiKy_306203262,KY_BOI,metadata,1.0,metadata
168220,CoQuan_817656383,BAN_HANH_BOI,metadata,1.0,metadata
146468,DoiTuongApDung_697390452,AP_DUNG_CHO,metadata/gemini,1.0,metadata/enrichment
146468,LinhVuc_296997001,THUOC_LINH_VUC,metadata,1.0,metadata
146468,NguoiKy_517575735,KY_BOI,metadata,1.0,metadata
146468,CoQuan_459545539,BAN_HANH_BOI,metadata,1.0,metadata
163441,DoiTuongApDung_959727473,AP_DUNG_CHO,metadata/gemini,1.0,metadata/enrichment
163441,DoiTuongApDung_711647360,AP_DUNG_CHO,metadata/gemini,1.0,metadata/enrichment
163441,DoiTuongApDung_495196204,AP_DUNG_CHO,metadata/gemini,1.0,metadata/enrichment
163441,DoiTuongApDung_520273571,AP_DUNG_CHO,metadata/gemini,1.0,metadata/enrichment
163441,LinhVuc_580170688,THUOC_LINH_VUC,metadata,1.0,metadata
163441,NguoiKy_415579774,KY_BOI,metadata,1.0,metadata
163441,CoQuan_459545539,BAN_HANH_BOI,metadata,1.0,metadata
26750,DoiTuongApDung_342825546,AP_DUNG_CHO,metadata/gemini,1.0,metadata/enrichment
26750,LinhVuc_888547526,THUOC_LINH_VUC,metadata,1.0,metadata
26750,NguoiKy_735969823,KY_BOI,metadata,1.0,metadata
26750,CoQuan_631011907,BAN_HANH_BOI,metadata,1.0,metadata
38128,DoiTuongApDung_400348904,AP_DUNG_CHO,metadata/gemini,1.0,metadata/enrichment
38128,DoiTuongApDung_55460830,AP_DUNG_CHO,metadata/gemini,1.0,metadata/enrichment
38128,DoiTuongApDung_164558322,AP_DUNG_CHO,metadata/gemini,1.0,metadata/enrichment
38128,LinhVuc_816545997,THUOC_LINH_VUC,metadata,1.0,metadata
38128,NguoiKy_306203262,KY_BOI,metadata,1.0,metadata
38128,CoQuan_817656383,BAN_HANH_BOI,metadata,1.0,metadata
112025,DoiTuongApDung_159597623,AP_DUNG_CHO,metadata/gemini,1.0,metadata/enrichment
112025,DoiTuongApDung_926556243,AP_DUNG_CHO,metadata/gemini,1.0,metadata/enrichment
112025,DoiTuongApDung_333833913,AP_DUNG_CHO,metadata/gemini,1.0,metadata/enrichment
112025,DoiTuongApDung_193973923,AP_DUNG_CHO,metadata/gemini,1.0,metadata/enrichment
112025,LinhVuc_517766624,THUOC_LINH_VUC,metadata,1.0,metadata
112025,NguoiKy_517575735,KY_BOI,metadata,1.0,metadata
112025,CoQuan_459545539,BAN_HANH_BOI,metadata,1.0,metadata
166170,DoiTuongApDung_186994903,AP_DUNG_CHO,metadata/gemini,1.0,metadata/enrichment
185630,CoQuan_817656383,BAN_HANH_BOI,metadata,1.0,metadata
185630,NguoiKy_175756545,KY_BOI,metadata,1.0,metadata
185630,LinhVuc_999000419,THUOC_LINH_VUC,metadata,1.0,metadata
117310,CoQuan_817656383,BAN_HANH_BOI,metadata,1.0,metadata
117310,NguoiKy_749048028,KY_BOI,metadata,1.0,metadata
117310,LinhVuc_233210126,THUOC_LINH_VUC,metadata,1.0,metadata
166269,CoQuan_631011907,BAN_HANH_BOI,metadata,1.0,metadata
166269,NguoiKy_125471001,KY_BOI,metadata,1.0,metadata
177271,CoQuan_817656383,BAN_HANH_BOI,metadata,1.0,metadata
177271,NguoiKy_175756545,KY_BOI,metadata,1.0,metadata
177271,LinhVuc_204942460,THUOC_LINH_VUC,metadata,1.0,metadata
44209,CoQuan_817656383,BAN_HANH_BOI,metadata,1.0,metadata
186888,NguoiKy_175756545,KY_BOI,metadata,1.0,metadata
186888,LinhVuc_204942460,THUOC_LINH_VUC,metadata,1.0,metadata
6e689cd0-6f81-11f1-94d6-fd5d6d5ff793,CoQuan_817656383,BAN_HANH_BOI,metadata,1.0,metadata
6e689cd0-6f81-11f1-94d6-fd5d6d5ff793,NguoiKy_175756545,KY_BOI,metadata,1.0,metadata
44209,NguoiKy_306203262,KY_BOI,metadata,1.0,metadata
44209,LinhVuc_816545997,THUOC_LINH_VUC,metadata,1.0,metadata
25692,CoQuan_631011907,BAN_HANH_BOI,metadata,1.0,metadata
25692,NguoiKy_735969823,KY_BOI,metadata,1.0,metadata
146468,LinhVuc_32937,THUOC_LINH_VUC,gemini,0.98,Quy định xử phạt vi phạm hành chính trong lĩnh vực chứng khoán và thị trường chứng khoán
163441,LinhVuc_517766624,THUOC_LINH_VUC,gemini,0.95,Luật Kinh doanh bảo hiểm
26750,CoQuan_559924146,BAN_HANH_BOI,gemini,0.95,"Luật này đã được Quốc hội nước Cộng hòa xã hội chủ nghĩa Việt Nam khóa XII, kỳ họp thứ 9 thông qua ngày 29 tháng 3 ngày 2011."
f69936f0-6937-11f1-a48d-29bc6b0fd706,CoQuan_459545539,BAN_HANH_BOI,gemini,0.95,Nghị định số 156/2020/NĐ-CP ngày 31 tháng 12 năm 2020 của Chính phủ
163441,DoiTuongApDung_602723052,AP_DUNG_CHO,gemini,0.9,"Chi nhánh doanh nghiệp bảo hiểm phi nhân thọ nước ngoài, chi nhánh doanh nghiệp tái bảo hiểm nước ngoài (sau đây gọi là chi nhánh nước ngoài tại Việt Nam); Văn phòng đại diện của doanh nghiệp bảo hiểm nước ngoài, doanh nghiệp tái bảo hiểm nước ngoài, doanh nghiệp môi giới bảo hiểm nước ngoài, tập đoàn tài chính, bảo hiểm nước ngoài tại Việt Nam"
150974,LinhVuc_153055480,THUOC_LINH_VUC,gemini,0.9,Ban hành chuẩn mực kiểm toán nội bộ Việt Nam
112924,LinhVuc_580170688,THUOC_LINH_VUC,gemini,0.9,DOANH NGHIỆP KINH DOANH BẢO HIỂM
30402,LinhVuc_898393019,THUOC_LINH_VUC,gemini,0.9,"đăng ký, quản lý và công khai danh sách kiểm toán viên hành nghề kiểm toán"
168220,LinhVuc_27003347,THUOC_LINH_VUC,gemini,0.9,hoạt động trong lĩnh vực ngân hàng
166170,LinhVuc_84410887,THUOC_LINH_VUC,gemini,0.9,LUẬT CÁC TỔ CHỨC TÍN DỤNG
186482,LinhVuc_377570137,THUOC_LINH_VUC,gemini,0.85,"trong lĩnh vực quản lý, giám sát ngân hàng liên quan đến cắt giảm điều kiện kinh doanh, đơn giản hóa thủ tục hành chính"
168859,LinhVuc_384788153,THUOC_LINH_VUC,gemini,0.85,quỹ tín dụng nhân dân
164719,LinhVuc_27003347,THUOC_LINH_VUC,gemini,0.85,"quy định tỷ lệ an toàn vốn đối với ngân hàng, chi nhánh ngân hàng nước ngoài"
173695,LinhVuc_27003347,THUOC_LINH_VUC,gemini,0.85,"Quy định hồ sơ, thủ tục cấp Giấy phép lần đầu của ngân hàng thương mại, chi nhánh ngân hàng nước ngoài , văn phòng đại diện nước ngoài"
169221,LinhVuc_591842244,THUOC_LINH_VUC,gemini,0.85,hướng dẫn việc tổ chức thực hiện hoạt động quản lý dự trữ ngoại hối nhà nước
38128,LinhVuc_266672757,THUOC_LINH_VUC,gemini,0.85,"THÔNG TƯ Q uy định việc thiết kế mẫu tiền, chế bản và quản lý in, đúc tiền Việt Nam"
